Name,Address,Contact no.,Email
Aeronautical Training Institute Up Lucknow,"Address : Lucknow Airport Lucknow, Uttar Pradesh State, India",522 - 2437565,ati.cad-up@gov.in
Indian Institute Of Handloom Technology Salem,"Address : Foulkes Compound, Thillai Nagar Salem, Tamil Nadu State, India",427 - 2296943,iiht.tnslm@nic.in
Hosur Institute Of Technology And Science Krishnagiri,"Address : Errandapalli Village, Hosur Taluk, Krishnagiri Dist., Tamil Nadu State, India",4344 - 259181,principalhitshosur@gmail.com
Dhanalakshmi Srinivasan Institute Of Research And Technology Siruvachur,"Address : Nh 45, Trichy - Chennai Main Road Siruvachur, Dist : Perambalur, Tamil Nadu State, India",4328 - 4328254647,dsirtpblr@gmail.com
Krishnasamy College Of Engineering & Technology Cuddalore,"Address : Nellikuppam Main Road, S. Kumarapuram, Cuddalore, Tamil Nadu, South India",4142 - 4142285601,kcet.skret@gmail.com
Dhanalakshmi Srinivasan Institute Of Technology Samayapuram,,431 - 4312670142,dsit2011@gmail.com
Government Tool Room And Training Centre Gokak,"Address : Government Tool Room And Training Centre Near Nadakacheri Office- Arabhavi Tq:-Gokak Dist:-Belagavipin Code No:-591306 Gokak, Dist : Belgaum, Karnataka State, India",NA,gttcarabhavi2020@gmail.com
National Rail And Transportation Institute Vaodara,"Address : National Rail And Transportation Institutenational Academy Of Indian Railways (Nair) Campuslalbaug Vaodara, Dist : Vadodara, Gujarat State",NA,dy.registrar@nrti.edu.in
Dr. Shyama Prasad Mukherjee International Institute Of Information Technology Raipur,"Address : Plot No. 7, Sector 24, Near Purkhoti Muktangan, Atal Nagar Â€“ 493661chhattisgarh Raipur, Chhattisgarh State, India",NA,acredcomm@iiitnr.ac.in
Gcrg College Of Polytechnic Lucknow,"Address : Parvatpur, Chandrika Devi Road, Bakshi Ka Talab, Lucknow, Uttar Pradesh State, India",522 - 3066108,registrar@gcrg.in
Dr.D.Y.Patil School Of Engineering And Technology Pune,"Address : Dr.D.Y.Patil Knowledge City, S.No-136, Charholi(Bk), Via Lohegaon, Tal-Haveli Pune, Maharashtra State, India",20 - 2027409920,sushant@dypatil.com
K.S. Institute Of Management & Technology Shamli,"Address : Karodi Road Shamli, Dist : Muzaffarnagar, Uttar Pradesh State, India",1398 - 252323,sanjeevnirwal197111@gmail.com
Central Institute Of Plastics Engineering & Technology CIPET Agartala,"Address : Bodhjung Nagar Sub Division Mohanpur Agartala, Dist : West Tripura, India",NA,cipetagartala@gmail.com
Pacific School Of Engineering Surat,"Address : Plot No.: 87, 91, 92, 96, Sanki, Palsana, Surat, Gujarat State, India",2622 - 291552,suratpacific@gmail.com
Gandhi Institute Of Excellent Technocrats Bhubaneswar,"Address : Princes Avenue, Ghangapatna, Bhubaneswar, Po:kantabada, Via:janla, Dist:khurda, Dist : Khordha, Odisha State, India",674 - 2541843,info.gietbbsr@gmail.com
Mahendra College Of Engineering Salem,"Address : 12th Km Attur Main Road Minnampallisalem Salem, Tamil Nadu State, India",427 - 2482886,info@mahendracollege.com
Viva Institute Of Technology Virar,"Address : At:- Shirgaon, Post:- Virar (East), Tal:- Vasai, Dist:- Thane., Maharashtra State, India",250 - 7770002544,principalvit@vivacollege.org
Vasavi Jnana Peetha Polytechnic Bangalore,"Address : Ca No.10, 2nd Main, Vijayanagar Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 23300532,vasavi467@gmail.com
Durgapur Polytechnic College,"Address : City Centre Ph-Ii, Surya Sen Sarani, Near Gandhi More Durgapur, Dist : Bardhaman, West Bengal State, India",343 - 2543388,durgapurpolytechnic@gmail.com
Central University Of Haryana,"Address : Mahendergarh Pali, Dist : Mahendergarh, Haryana State, India",NA,registrar@cuh.ac.in
College Of Dairy Science And Technology Thrissur,"Address : College Of Dairy Science And Technology, Mannuthy, Thrissur, Kerala State, India",NA,deancdstmty@kvasu.ac.in
"Parimala Pandurangan Polytechnic College Chithathur, Walajapet","Address : No, 55, Chithathur Village Walajapet Taluk, Vellore District Tamilnadu, Tamil Nadu State, India",4172 - 292505,ppcollege2012@yahoo.in
"Sant Baba Prem Singh Memorial, Government Polytechnic College, Begowal","Address : Govt. Polytechnic Institute Begowal, Dist : Kapurthala, Punjab State, India",1822 - 248248,gpbegowal@yahoo.in
Techno International Batanagar Maheshtala,"Address : Putkhali, Ward No.- 30, Holding No.- B7-360/New Maheshtala, Dist : South 24 Parganas, West Bengal State, India",33 - 24905050,principal@tib.edu.in
Sphoorthy Engineering College Hyderabad,"Address : Nadargul (V) Near Vanasthalipuram, Saroornagar (M), R.R(Dist) - 501 510 Hyderabad, Dist : Rangareddi, Telangana State, India",8415 - 201137,info@sphoorthyengg.ac.in
Defence Institute For Geo Spatial Information And Training Pune,"Pune college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",NA,alosin.55981@gov.in
Mangalore Marine College And Technology,"Address : Padil Padavu, Kilengar Village, Kuppepadavu Post, Mangalore, Dist : D Kannada(Dk), Karnataka State, India",824 - 2265320,chairman@cmc.ac.in
Dewan V.S. Institute Of Engineering & Technology Meerut,"Address : By- Pass Road, Partapur Meerut, Uttar Pradesh State, India",121 - 2440315,info@dewaninstitutes.org
Shri Vishwakarma Skill University Palwal,"Address : Village Dudhola, Palwal, Haryana State, India",NA,registrar@svsu.ac.in
